DateKey,Date,Year,Month,MonthName,Quarter,DayOfWeek,DayOfMonth,WeekOfYear,IsWeekend
419,2009-02-22,2009,2,February,1,Sunday,22,8,False
420,2009-02-23,2009,2,February,1,Monday,23,9,False
421,2009-02-24,2009,2,February,1,Tuesday,24,9,False
422,2009-02-25,2009,2,February,1,Wednesday,25,9,False
423,2009-02-26,2009,2,February,1,Thursday,26,9,False
424,2009-02-27,2009,2,February,1,Friday,27,9,True
425,2009-02-28,2009,2,February,1,Saturday,28,9,True
426,2009-03-01,2009,3,March,1,Sunday,1,9,False
427,2009-03-02,2009,3,March,1,Monday,2,10,False
428,2009-03-03,2009,3,March,1,Tuesday,3,10,False
429,2009-03-04,2009,3,March,1,Wednesday,4,10,False
430,2009-03-05,2009,3,March,1,Thursday,5,10,False
431,2009-03-06,2009,3,March,1,Friday,6,10,True
432,2009-03-07,2009,3,March,1,Saturday,7,10,True
433,2009-03-08,2009,3,March,1,Sunday,8,10,False
434,2009-03-09,2009,3,March,1,Monday,9,11,False
435,2009-03-10,2009,3,March,1,Tuesday,10,11,False
436,2009-03-11,2009,3,March,1,Wednesday,11,11,False
437,2009-03-12,2009,3,March,1,Thursday,12,11,False
438,2009-03-13,2009,3,March,1,Friday,13,11,True
439,2009-03-14,2009,3,March,1,Saturday,14,11,True
440,2009-03-15,2009,3,March,1,Sunday,15,11,False
441,2009-03-16,2009,3,March,1,Monday,16,12,False
442,2009-03-17,2009,3,March,1,Tuesday,17,12,False
443,2009-03-18,2009,3,March,1,Wednesday,18,12,False
444,2009-03-19,2009,3,March,1,Thursday,19,12,False
445,2009-03-20,2009,3,March,1,Friday,20,12,True
446,2009-03-21,2009,3,March,1,Saturday,21,12,True
447,2009-03-22,2009,3,March,1,Sunday,22,12,False
448,2009-03-23,2009,3,March,1,Monday,23,13,False
449,2009-03-24,2009,3,March,1,Tuesday,24,13,False
450,2009-03-25,2009,3,March,1,Wednesday,25,13,False
451,2009-03-26,2009,3,March,1,Thursday,26,13,False
452,2009-03-27,2009,3,March,1,Friday,27,13,True
453,2009-03-28,2009,3,March,1,Saturday,28,13,True
454,2009-03-29,2009,3,March,1,Sunday,29,13,False
455,2009-03-30,2009,3,March,1,Monday,30,14,False
456,2009-03-31,2009,3,March,1,Tuesday,31,14,False
457,2009-04-01,2009,4,April,2,Wednesday,1,14,False
458,2009-04-02,2009,4,April,2,Thursday,2,14,False
459,2009-04-03,2009,4,April,2,Friday,3,14,True
460,2009-04-04,2009,4,April,2,Saturday,4,14,True
461,2009-04-05,2009,4,April,2,Sunday,5,14,False
462,2009-04-06,2009,4,April,2,Monday,6,15,False
463,2009-04-07,2009,4,April,2,Tuesday,7,15,False
464,2009-04-08,2009,4,April,2,Wednesday,8,15,False
465,2009-04-09,2009,4,April,2,Thursday,9,15,False
466,2009-04-10,2009,4,April,2,Friday,10,15,True
467,2009-04-11,2009,4,April,2,Saturday,11,15,True
468,2009-04-12,2009,4,April,2,Sunday,12,15,False
469,2009-04-13,2009,4,April,2,Monday,13,16,False
470,2009-04-14,2009,4,April,2,Tuesday,14,16,False
471,2009-04-15,2009,4,April,2,Wednesday,15,16,False
472,2009-04-16,2009,4,April,2,Thursday,16,16,False
473,2009-04-17,2009,4,April,2,Friday,17,16,True
474,2009-04-18,2009,4,April,2,Saturday,18,16,True
475,2009-04-19,2009,4,April,2,Sunday,19,16,False
476,2009-04-20,2009,4,April,2,Monday,20,17,False
477,2009-04-21,2009,4,April,2,Tuesday,21,17,False
